,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dark Willow,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Grimstroke,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Mars,Medusa,Meepo,Mirana,Monkey King,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Pangolier,Phantom Assassin,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Snapfire,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Underlord,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Void Spirit,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
Abaddon,0.0,47.389,48.2401,46.9082,54.3251,51.54,49.7489,58.4538,46.3963,47.2666,50.3226,51.6957,50.5882,49.2037,51.554,52.059,52.7682,52.2918,48.4769,48.4299,44.7514,50.3323,51.5099,54.438,51.4874,54.411,49.6715,50.3138,54.171,50.7294,49.9408,55.3529,55.6206,51.6023,50.0712,53.3965,56.7892,52.0596,52.0316,55.5776,48.6652,52.0124,49.4225,53.2612,52.0404,58.2424,49.4904,52.7859,53.0714,51.4679,46.298,49.3486,49.4091,55.8889,52.6365,50.467,47.0836,49.8049,50.9068,53.0367,50.0132,54.268,47.0755,47.9845,49.3351,48.0961,52.5578,54.218,52.8509,50.8929,51.1511,51.5673,51.4109,54.1132,52.0198,51.6497,51.8481,49.4982,48.418,53.389,50.024,52.1142,50.8325,53.353,54.4769,52.8483,51.0935,48.4364,51.7433,48.5279,48.8784,51.8501,54.7254,52.7816,51.3633,53.8665,53.4446,50.335,54.0265,55.2845,55.4467,49.8625,50.4032,52.4677,46.3831,48.5663,48.6691,48.7578,52.0798,53.6115,47.946,51.6919,50.9272,50.9186,49.4151,52.4808,50.9837,45.9404,48.8866
Alchemist,52.6109,0.0,48.8822,51.7992,56.3473,51.817,49.534,55.9215,49.0789,48.7343,48.6042,54.7101,52.4288,57.4725,55.2718,53.1354,54.7467,50.6264,49.8316,50.2273,48.412,52.4059,51.8344,55.1297,52.937,56.161,52.0511,52.4919,56.3964,54.8396,53.8284,56.8223,57.4336,52.9409,52.9787,56.4684,57.065,48.6075,55.7042,58.6023,50.47,51.7709,52.9626,55.9811,52.8669,58.795,51.792,52.5155,56.2109,54.4568,48.2027,49.3025,52.1675,57.9003,55.257,54.0443,48.8202,50.6971,49.2674,52.4352,53.6177,56.9402,48.5521,50.5277,52.126,48.9257,54.2874,57.6852,55.3642,54.4079,51.2156,56.8767,52.9229,59.1237,52.1985,53.5446,51.8186,48.6221,50.8069,56.3252,53.5831,54.0681,52.215,54.0559,54.3642,52.0792,50.446,51.234,53.9161,49.708,52.4562,52.852,56.3416,54.2613,51.9885,56.8589,54.2751,53.5182,55.2254,59.1639,59.1046,51.8502,50.0773,52.973,50.701,52.6466,47.7546,51.0293,50.6489,55.4471,52.2345,54.4155,50.8004,53.5225,50.638,54.2266,51.652,49.8379,51.4775
Ancient Apparition,51.7419,51.1039,0.0,45.7646,51.2354,50.4473,48.2183,56.4234,44.5471,49.1902,48.666,51.4602,52.8146,49.9595,50.7366,50.2558,53.6,47.6791,48.1995,48.7992,49.2994,50.9663,52.6053,54.7434,51.3129,53.5077,50.1808,51.0773,53.4512,52.3484,51.7359,54.5105,56.6424,50.1867,51.4439,54.6201,56.8846,60.9233,53.2221,58.9943,48.0572,51.7692,51.4369,54.0485,51.0539,59.1767,50.7772,53.4439,53.7207,52.4785,46.9887,49.0112,45.5709,54.8236,52.8293,50.6897,50.9775,48.4707,54.3169,57.99,47.9433,55.2084,51.6118,47.323,50.5989,47.1806,54.4722,54.7051,55.593,52.6401,50.588,49.1399,49.8973,52.6019,50.8889,52.1868,50.1546,50.9994,46.4591,54.298,51.3551,52.6899,52.2489,51.4266,50.9337,50.4072,50.3425,54.1243,52.2238,48.7424,47.2294,51.1077,51.6737,52.1873,51.2117,52.0025,53.4035,50.6606,54.2943,54.5544,57.3572,50.9387,51.4333,52.0491,49.0936,51.7469,47.8256,48.8436,50.3698,54.2669,47.7109,50.1366,49.5756,50.195,48.9163,53.5002,51.1844,45.0442,47.2113
Anti-Mage,53.0775,48.2096,54.2353,0.0,56.019,48.1017,51.1633,56.3201,45.5571,46.1468,48.9654,55.8256,55.0903,50.7457,50.9716,53.6436,52.3939,49.3328,53.0066,49.2767,52.7433,52.3446,50.8644,57.5192,50.8692,55.5866,50.4076,49.71,55.4637,51.7404,51.1455,55.6473,56.2954,52.8301,52.2634,55.6563,57.428,49.4308,53.9264,55.7178,49.0962,53.7289,51.9028,52.5815,47.0589,59.3695,53.1272,53.5433,54.3644,53.714,43.2706,49.3721,49.3603,55.1173,54.7052,57.4356,40.147,49.9545,51.5273,56.9328,51.3226,56.7286,52.3262,48.1704,50.728,49.4545,54.715,57.3942,56.9007,54.2572,48.3844,54.9714,52.1822,53.4892,53.1156,56.0312,53.4176,54.233,46.541,55.7304,53.9115,54.514,50.9944,51.3941,51.8917,53.6564,46.9451,51.2104,53.5199,52.3041,53.7901,50.8797,60.1667,53.1295,54.0733,50.0567,53.3242,52.5567,55.7564,61.0456,56.2626,52.0031,46.7262,53.4457,49.6243,53.8644,47.8453,50.2375,51.2468,54.6109,48.0896,54.2478,50.955,52.9736,51.6624,55.9198,51.996,49.2029,53.8057
Arc Warden,45.6748,43.6526,48.7675,43.9882,0.0,47.8329,47.5375,51.0652,44.1445,45.035,45.0197,48.8153,47.1227,39.3447,46.625,47.6032,47.2093,47.6162,45.9748,45.6201,45.3537,49.6061,47.294,50.8419,49.1721,52.2843,48.139,49.0782,49.8414,48.5014,48.3963,50.6235,51.9682,47.8476,47.9708,52.5789,54.3069,52.0136,49.9291,50.1034,45.8377,47.707,47.9967,48.4901,46.8152,54.2068,46.8721,48.5241,52.6645,50.9338,41.7691,47.1439,41.6408,49.6497,49.311,48.3275,40.082,46.4008,50.2735,49.1894,44.1031,52.7414,46.6281,46.075,46.206,44.3634,48.404,50.5986,57.7819,49.2469,46.7719,46.1725,49.3222,51.8506,47.6401,49.597,48.6571,51.1281,45.0727,52.2574,47.9763,49.4096,51.6502,50.4587,51.0246,48.5299,47.0656,47.1524,49.1353,46.9836,44.9929,46.7144,49.1799,48.1583,49.9023,54.0853,52.3766,46.5239,51.141,54.5091,54.8533,47.0763,47.3658,50.3832,45.1896,48.0345,45.5223,46.5744,50.3264,53.7783,44.4816,46.9722,44.8218,46.73,48.8766,49.7735,47.7773,42.5426,44.7466
Axe,48.458,48.1833,49.5526,51.8982,52.1614,0.0,49.9393,54.0935,48.952,48.5722,48.869,52.8485,51.4007,55.0527,51.8604,52.3712,53.9199,50.2904,47.143,48.9838,48.5238,51.4201,51.428,51.7721,51.0491,53.8222,48.5205,51.1428,53.9399,52.4829,50.0383,54.1671,56.9132,50.1387,52.6884,53.8471,53.8835,52.0447,53.2635,56.7905,47.0268,52.5155,51.4284,52.7211,51.1673,57.523,49.7902,52.281,55.2236,53.6084,47.0146,47.9187,52.6275,55.361,52.6021,50.302,50.5384,50.3265,50.8397,56.7356,54.3809,56.4879,46.9149,47.4368,51.968,47.199,51.3628,55.2463,53.8706,53.1886,52.5428,57.3628,49.0438,53.4737,50.2801,51.0089,50.5477,49.1534,48.1215,55.5586,49.6201,53.5817,52.6639,52.1012,51.0069,50.6113,50.0567,51.5454,52.5415,49.5982,46.3326,50.379,54.8826,51.2551,51.1903,53.8625,57.5278,50.5671,53.2425,54.8889,56.6614,49.7387,50.6385,52.811,47.8052,49.5652,46.9069,49.5409,47.3065,52.414,51.1322,52.19,47.3756,52.3882,51.7309,53.6785,49.5801,44.8826,46.9364
Bane,50.251,50.4659,51.7725,48.8282,52.4624,50.0658,0.0,55.9743,44.9252,48.105,49.8215,54.3071,53.4746,52.5024,52.5679,48.2665,53.4393,51.1134,48.9482,49.4335,48.197,51.2127,51.2878,54.0652,52.2886,54.7997,49.9183,50.3571,54.145,52.0731,49.9369,56.6973,56.9713,50.3956,53.2794,55.9402,56.2878,51.6043,53.593,56.6895,49.9791,53.4474,52.3867,53.3858,52.1709,59.2669,51.5745,55.949,55.3517,53.6549,46.4264,48.054,46.2747,56.7723,54.5202,49.9707,44.8595,49.9109,52.8963,55.7628,46.9595,55.9142,48.6351,49.4663,52.2095,47.6691,51.6116,55.6977,57.4077,55.5524,52.6659,50.3403,52.1597,54.7882,50.9402,52.8034,51.7352,51.0724,48.7178,55.2172,51.0655,54.0243,53.7663,52.0668,50.5296,52.0989,50.4218,52.2971,54.3876,49.239,48.2812,50.4921,54.6603,52.8874,52.4233,53.291,52.9041,49.4113,56.6786,56.5243,57.1176,50.9768,52.1211,52.9037,48.1165,50.4828,49.4918,48.8987,49.8131,53.5241,45.3537,52.8787,50.1301,52.7931,52.5935,53.81,51.3725,45.1304,49.2368
Batrider,41.5461,44.0784,43.5507,43.6609,48.9347,45.9115,44.0256,0.0,42.0235,44.026,44.672,45.4977,46.1027,47.8222,46.9167,45.6512,50.4972,44.6835,44.2772,42.4267,42.9691,45.3565,45.0818,47.5603,45.633,48.9768,44.7489,45.579,50.365,47.1212,46.4579,48.7005,50.3445,44.1257,44.9182,48.7506,49.5376,45.3458,47.9554,52.5504,43.2205,44.1481,47.1281,48.9031,44.9428,53.6225,44.1503,43.8408,49.5354,47.1673,42.1187,43.6754,47.3593,50.2166,48.0236,43.5422,48.0614,43.6142,50.5307,48.7347,47.8927,51.637,43.8319,43.2206,44.6041,41.5512,46.1197,48.5767,50.9176,46.8645,46.8438,46.4783,44.9645,46.4178,46.0755,46.8658,43.1321,44.6175,42.6913,49.5896,45.3123,47.5706,47.8394,46.1267,44.979,45.6728,45.2496,44.4679,47.1632,42.9632,42.9106,45.7173,47.2238,47.5307,46.1097,53.7497,49.6649,43.0062,51.9928,51.6929,53.7837,45.7492,46.6305,49.1175,42.6738,44.786,43.1974,43.2626,43.4497,46.6989,41.68,46.3143,45.2898,43.6107,43.7442,46.4923,44.5513,41.1551,43.7803
Beastmaster,53.5862,50.9226,55.4528,54.4428,55.856,51.0479,55.0702,57.9419,0.0,49.4739,52.2531,55.4971,51.0495,55.148,53.6627,52.6552,50.3615,49.3294,53.4983,50.0176,47.9584,52.8413,52.6937,57.273,53.8205,58.2634,52.8048,52.4604,54.863,52.2839,52.9142,55.7298,54.8143,52.5623,55.1272,58.2125,56.17,54.8795,55.5006,58.2232,48.161,54.7473,50.7599,51.7571,53.6783,60.5305,52.7507,57.2545,56.3743,57.5265,51.457,52.391,48.8455,57.1263,55.6273,50.5764,52.7529,52.4005,56.345,57.0469,49.7812,57.4173,50.7744,53.4066,54.7686,51.9262,55.058,59.0427,61.4475,54.2478,52.3397,52.2312,51.5907,56.4383,55.2677,54.2667,52.1656,52.4623,52.1039,55.1871,51.6883,56.2243,55.2065,55.4503,56.0415,54.0194,54.6215,55.6822,53.693,48.1815,49.7314,54.1422,55.7456,53.9106,53.4784,56.7774,54.7804,50.1137,54.3482,57.3917,59.2252,51.421,52.7723,55.7736,48.9768,49.7745,54.3354,52.3287,51.7704,54.7454,50.6832,53.8844,51.4242,52.1493,52.6835,50.3169,52.827,49.9259,51.1422
Bloodseeker,52.7333,51.2663,50.813,53.8559,54.9649,51.4312,51.8949,55.9739,50.5445,0.0,50.8203,53.3696,53.4326,54.1808,55.8491,52.677,52.148,53.1092,48.7669,50.6943,52.061,53.0959,53.2274,56.5498,53.4109,56.4442,50.8181,54.2589,57.0763,53.8057,52.6398,55.4762,57.7899,51.6908,52.0118,57.006,56.7136,57.1226,55.6886,57.9307,50.1547,50.8432,53.7748,56.7318,52.471,60.6404,52.0851,52.046,56.9161,54.7134,47.7186,50.1495,54.5753,57.4641,54.5411,49.8133,51.2529,52.133,52.7897,55.077,52.1565,56.3016,49.5774,52.3554,52.0939,48.0249,55.3815,57.5467,56.9848,57.8128,53.616,54.2963,54.2986,56.0088,51.9878,53.3049,52.7648,54.0665,52.2654,55.4879,53.1171,56.1703,53.6747,53.8111,53.8395,52.5705,52.6377,56.4769,54.7605,50.3291,48.6155,52.5624,53.5308,53.2005,51.1182,55.3832,56.0839,53.3242,57.8196,54.3,58.3991,51.9248,50.058,54.3923,49.885,51.6991,49.9656,51.6793,51.5798,54.5754,53.5736,54.812,50.3964,54.9363,53.6901,54.3009,52.4029,45.8623,47.869
